parser_version,uploader_version,source_name,target_redcap_name,update_mode,key_field,notes,source_present,suggested_target_redcap_name,suggested_target_redcap_label,match_score,match_method,match_status
v1.0.0,v1.1.0,source_file,,update,FALSE,,NA,NA,NA,-20,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,biomerieux_customer,,update,FALSE,,NA,NA,NA,-25.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,report_title,,update,FALSE,,NA,NA,NA,-17,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,system_number,,update,FALSE,,NA,NA,NA,-19.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,printed_by,,update,FALSE,,NA,NA,NA,-8,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,last_updated,,update,FALSE,,NA,NA,NA,-14,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,updated_by,updated_by,update,FALSE,,NA,crf11_directgram_stain,7  Description of any organism by Direct Gram stain,-11.5,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,report_version,,update,FALSE,,NA,NA,NA,-19.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,patient_name,,update,FALSE,,NA,NA,NA,-7,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,patient_id,patient_id,key,TRUE,Primary lookup field for existing REDCap record,NA,participant_id,Participants ID,194,patient_identifier_top_of_dictionary,high_confidence
v1.0.0,v1.1.0,isolate,isolate,update,FALSE,,NA,crf11_10a_ai,Organism 1 ID,78,isolate_slot_semantics,needs_review
v1.0.0,v1.1.0,isolate_status,,update,FALSE,,NA,NA,NA,-13,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,bench,,update,FALSE,,NA,NA,NA,-20,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_card_type,id_card_type,update,FALSE,,NA,participant_id,Participants ID,-1.5,token_overlap_field_name,low_confidence
v1.0.0,v1.1.0,id_card_barcode,,update,FALSE,,NA,NA,NA,-4.5,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_testing_instrument,,update,FALSE,,NA,NA,NA,-8.5,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,ast_card_type,ast_card_type,update,FALSE,,NA,crf11_15_gnmethod1,Gram-Negative Organism 1 AST methods,-8.5,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,ast_card_barcode,ast_card_barcode,update,FALSE,,NA,crf11_15_gnmethod1,Gram-Negative Organism 1 AST methods,-12.5,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,ast_testing_instrument,,update,FALSE,,NA,NA,NA,-20,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,setup_technologist,,update,FALSE,,NA,NA,NA,-23,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,bionumber,,update,FALSE,,NA,NA,NA,-19.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,selected_organism,,update,FALSE,,NA,NA,NA,-15.5,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,installed_vitek_version,,update,FALSE,,NA,NA,NA,-28.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,mic_interpretation_guideline,,update,FALSE,,NA,NA,NA,-26,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,therapeutic_interpretation_guideline,,update,FALSE,,NA,NA,NA,-39,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,aes_parameter_set_name,,update,FALSE,,NA,NA,NA,-26,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,aes_parameter_last_modified,,update,FALSE,,NA,NA,NA,-27.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,mcfarland,,update,FALSE,,NA,NA,NA,-17,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_card,,update,FALSE,,NA,NA,NA,0,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_lot_number,,update,FALSE,,NA,NA,NA,-4,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_expires,,update,FALSE,,NA,NA,NA,-2.5,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_status,,update,FALSE,,NA,NA,NA,-1.5,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_analysis_time,,update,FALSE,,NA,NA,NA,-4,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_completed,,update,FALSE,,NA,NA,NA,0,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,organism_origin,,update,FALSE,,NA,NA,NA,-12.5,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,identified_organism,identified_organism,update,FALSE,,NA,crf11_directgram_stain,7  Description of any organism by Direct Gram stain,-15.5,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,organism_probability_pct,,update,FALSE,,NA,NA,NA,-21.5,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,id_confidence,,update,FALSE,,NA,NA,NA,-3,token_overlap_field_name,left_unmapped_parser_metadata
v1.0.0,v1.1.0,analysis_organisms_tests_to_separate,,update,FALSE,,NA,NA,NA,-37.5,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,contraindicating_typical_biopatterns,,update,FALSE,,NA,NA,NA,-42,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,susceptibility_card,,update,FALSE,,NA,NA,NA,-21,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,susceptibility_lot_number,,update,FALSE,,NA,NA,NA,-30.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,susceptibility_expires,,update,FALSE,,NA,NA,NA,-25.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,susceptibility_status,,update,FALSE,,NA,NA,NA,-18.5,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,susceptibility_analysis_time,,update,FALSE,,NA,NA,NA,-24,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,susceptibility_completed,,update,FALSE,,NA,NA,NA,-28.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,aes_last_modified,,update,FALSE,,NA,NA,NA,-21.5,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,aes_parameter_set,,update,FALSE,,NA,NA,NA,-21,distance_only,left_unmapped_parser_metadata
v1.0.0,v1.1.0,aes_confidence_level,,update,FALSE,,NA,NA,NA,-17,token_overlap_field_label,left_unmapped_parser_metadata
v1.0.0,v1.1.0,cefoxitin_screen_mic,cefoxitin_screen_mic,update,FALSE,,NA,crf11_16o1_ai,16ai Minimum Inhibitory Concentration (MIC µg/ml):Organism 1 Cefoxitin Screen,-2,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,cefoxitin_screen_interpretation_raw,cefoxitin_screen_interpretation_raw,update,FALSE,,NA,crf11_16o1_aii,16aii S/I/R Code :Organism 1- Cefoxitin Screen,52,susceptibility_semantics,needs_review
v1.0.0,v1.1.0,cefoxitin_screen_interpretation,cefoxitin_screen_interpretation,update,FALSE,,NA,NA,NA,38,token_overlap_field_label,left_unmapped_low_confidence
v1.0.0,v1.1.0,clindamycin_mic,clindamycin_mic,update,FALSE,,NA,crf11_15o1_ti,15si Minimum Inhibitory Concentration (MIC µg/ml): Organism 1-  Inducible Clindamycin resistance,-6,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,clindamycin_interpretation_raw,clindamycin_interpretation_raw,update,FALSE,,NA,crf11_15o1_tii,15sii S/I/R Code: Organism 1-  Inducible Clindamycin resistance,51,susceptibility_semantics,needs_review
v1.0.0,v1.1.0,clindamycin_interpretation,clindamycin_interpretation,update,FALSE,,NA,NA,NA,37,token_overlap_field_label,left_unmapped_low_confidence
v1.0.0,v1.1.0,ampicillin_mic,ampicillin_mic,update,FALSE,,NA,crf11_15o1_bi,15bi Minimum Inhibitory Concentration (MIC µg/ml): Organism 1- Ampicillin,0,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,ampicillin_interpretation_raw,ampicillin_interpretation_raw,update,FALSE,,NA,crf11_15o1_bii,15bii S/I/R Code: Organism 1- Ampicillin,52.5,susceptibility_semantics,needs_review
v1.0.0,v1.1.0,ampicillin_interpretation,ampicillin_interpretation,update,FALSE,,NA,NA,NA,38.5,token_overlap_field_label,left_unmapped_low_confidence
v1.0.0,v1.1.0,linezolid_mic,linezolid_mic,update,FALSE,,NA,crf11_16o1_ki,16ki Minimum Inhibitory Concentration (MIC µg/ml):Organism 1  Linezolid,-5.5,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,linezolid_interpretation_raw,linezolid_interpretation_raw,update,FALSE,,NA,crf11_16o1_kii,16kii S/I/R Code :Organism 1-  Linezolid,52.5,susceptibility_semantics,needs_review
v1.0.0,v1.1.0,linezolid_interpretation,linezolid_interpretation,update,FALSE,,NA,NA,NA,38.5,token_overlap_field_label,left_unmapped_low_confidence
v1.0.0,v1.1.0,oxacillin_mic,oxacillin_mic,update,FALSE,,NA,crf11_16o1_ci,16ci Minimum Inhibitory Concentration (MIC µg/ml):Organism 1 . Oxacillin,-3,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,oxacillin_interpretation_raw,oxacillin_interpretation_raw,update,FALSE,,NA,crf11_16o1_cii,16cii S/I/R Code :Organism 1- . Oxacillin,54,susceptibility_semantics,needs_review
v1.0.0,v1.1.0,oxacillin_interpretation,oxacillin_interpretation,update,FALSE,,NA,NA,NA,40,token_overlap_field_label,left_unmapped_low_confidence
v1.0.0,v1.1.0,daptomycin_mic,daptomycin_mic,update,FALSE,,NA,crf11_16o1_mi,16mi Minimum Inhibitory Concentration (MIC µg/ml):Organism 1 Daptomycin,-1.5,token_overlap_field_label,low_confidence
v1.0.0,v1.1.0,daptomycin_interpretation_raw,daptomycin_interpretation_raw,update,FALSE,,NA,crf11_16o1_mii,16mii S/I/R Code :Organism 1- Daptomycin,54,susceptibility_semantics,needs_review
v1.0.0,v1.1.0,daptomycin_interpretation,daptomycin_interpretation,update,FALSE,,NA,NA,NA,40,token_overlap_field_label,left_unmapped_low_confidence
